STATE,BLOODBANKS.NO,BLOODBANK_DETAILS,,,
GUJARAT,122,"Medical Care Centre Trust, Shri Jalaram Blood Bank. Kashiben   Gordhandas   Patel   Children   Hospital,   Jalaram
Marg,Karelibaug",,,
GUJARAT,123,"Suraktam  Blood  Bank  (Run  by  Vadodara  District  AIDS Control Society)
G-7, Blue Chip,Nr.Stock Exchange, Sayajiganj",,,
GUJARAT,124,"Indu Voluntary Blood Bank
Manage  Indu  Health  Research  Foundation  Trust,  Vinraj Plaza,Third Floor,Opp:-Govt.Press Kothi",,,
GUJARAT,125,"Medical  Director,  Bhailal  Amin  General  Hospital  Blood Bank
Medical Director, Bhailal Amin General Hospital, Alembic Road.",,,
GUJARAT,126,"Dhiraj Blood Bank
Dhiraj Hospital Managed By K. M. Shah Cheritable Trust.",,,
GUJARAT,127,"Kailash Cancer Hospital & Research Centre
Muni.Seva Ashram, Goraj",,,
GUJARAT,128,"The Medical Superintendent,GMERS General Hospital
Gotri Road",,,
GUJARAT,129,"Shree Narhari Manav Kalyan Trusy "" Narhari Hospital""
Narayan Bhavan,",,,
GUJARAT,130,"Lions Medical Research Education Cheritable Trust
Opp.Referral Hospital.",,,
GUJARAT,131,"The  Superintendent,General Hospital
Office of the Superintendent,General Hospital",,,
GUJARAT,132,"Valsad Raktdan Kendra
R.N.C.  Free  Eye  Hospital  Compound  ,  Opp:-Mamlatdar Office",,,
GUJARAT,133,"Sardar  Billadwala  Pardi  Peoples  (S.B.P.P.)  Co.op.  Bank Foundation  Blood  Bank  (Truustee  of  Manav  Arogya  Seva Kendra),
Jesal  Co.op.Housing  Society,  Near  Pardi  Hospital,  N.H. No.8, Killa-Pardi",,,
GUJARAT,134,"Smt.Puriben Popat Lakha Blood Bank
(Jamnagar-Nana Mandha)  Lions Club Of Vapi Udyognagar Cheritable    Trsut    Sanchali        Plot    No.366/A,Prashant Park,Near Jain Temple,G.I.D.C.",,,
GUJARAT,135,"Nukem Blood Bank
Haria  L.G.Rotary  Hospital,  Rotary  CharItable  Trust  Vapi
,Plot No.363/1 & 364, Housing Sector,G.I.D.C.",,,
GUJARAT,136,"Best   Wellcare   Management   Services   Private   Limited,"" INDU STEM CELL BANK""
3'rd floor,Vinraj Plaza,Opp:-Govt.Press,Kothi",,,
HARYANA,1,"Blood Bank, General Hospital, Ambala City.",,,
HARYANA,2,"Blood Bank, General Hospital, Narnaul",,,
HARYANA,3,"Blood Bank, General Hospital, Gurgaon.",,,
HARYANA,4,"Blood  Bank,  Regional  Blood  Transfusion  Centre,  General
Hospital, Karnal.",,,
HARYANA,5,"Blood Bank, General Hospital, Sonepat.",,,
HARYANA,6,"Blood Bank, General Hospital, Sirsa.",,,
HARYANA,7,"Blood Bank General Hospital, Bhiwani.",,,
HARYANA,8,"Blood     Bank     Transfusion     Center,     LNJP     Hospital,
Kurukshetra.",,,
HARYANA,9,"Blood Bank, B.K. General Hospital, Faridabad.",,,
HARYANA,10,"Indian   Red   Cross  Society,   Blood   Transfusion  Services,
Panipat.",,,
HARYANA,11,"Regional   Blood   Transfusion   Service,   General   Hospital,
Hissar.",,,
HARYANA,12,"Blood Bank, General Hospital, Jind.",,,
HARYANA,13,"Trauma  Centre  Blood  Bank,  ,  1st  Floor,  Trauma  Centre, Mukund Lal General Hospital, Yamunanagar.",,,
HARYANA,14,"Blood     Bank,     Nalwa     Pathology     and     Microbiology Laboratory,    SCF-83,    Commercial    UE-1,    Red    Square
market, Hissar.",,,
HARYANA,15,"Blood    Bank,    Command    Hospital,    Chandi    Mandir,
Panchkula.",,,
HARYANA,16,"Blood    Bank,    inside        SMT.    Indira    Gandhi    Govt.
Multispecialty General Hospital, Sector-18, Kaithal.",,,
HARYANA,17,"Blood Bank, Military Hospital, Ambala Cantt.",,,
HARYANA,18,"Blood Bank, Escort Hospital, Faridabad.",,,
HARYANA,19,"Blood Bank, General Hospital, Sector-6, Panchkula.",,,
HARYANA,20,"Blood Bank, Central Medical Centre, Delhi Road, Hissar.",,,
HARYANA,21,"Blood  Bank,  Nirmal  Institute  of  Medical  Science  Blood
Bank, Opp. Civil Hospital, Karnal.",,,
HARYANA,22,"Blood  Bank,  Sunflag  Hospital  &  Research  Centre,  Sector-16A,  Faridabad.",,,
HARYANA,23,"Blood   Bank,   Maharaja   Agrasen   Institute   of   Medical
Research and EduD610:D667cation, Agraha.",,,
HARYANA,24,"Haryana  Blood  Bank,  Near  Jindal  Hospital,  Model  Town,
Hissar.",,,
HARYANA,25,"Shiv  Shakti  Blood  Bank,  Shiv  Shakti  Rakta  data  Samiti Circular Road,  Balmiki Chowk, Sirsa.",,,
HARYANA,26,"Prem   Blood   Bank   (A   unit   of   Lala   Harbhagwan   Dass Memorial &  Dr. Prem Hospital Pvt. Ltd.,) , Bishan Saroop
Colony, Opposite Bus Stand, Panipat.",,,
HARYANA,27,"Kapisthal Blood Bank, Plot No. 11, Rishi Nagar, Kaithal",,,
HARYANA,28,"Blood  Bank,  Diamond  Blood  bank,  LLP  C/o  Om  Spero
Hospital, 56 KM Stone, NH-2, Delhi Mathura Road, Palwal.",,,
HARYANA,29,"Blood   Bank,   Pandit   Ram   Prakash   Hospital   &   Kidney
Centre, Civil Hospital Road, Karnal",,,
HARYANA,30,"National Blood Bank,  Situated at Basement of Prem Munjal
Hospital, Near Bus Stand, Rishi Nagar, Hisar.",,,
HARYANA,31,"Manglam Blood Bank, N-139, Model Town, Jindal Hospital
Road, Hissar.",,,
HARYANA,32,"Gurgaon Blood Bank, Gurgaon.",,,
HARYANA,33,"Save Life Blood Bank, 16, Jarnaily Colony, Opp.- General
Hospital, Karnal.",,,
HARYANA,34,"Hissar Blood Bank, Hissar",,,
HARYANA,35,"Blood  Bank,  Pt.  B.  D.  Sharma  Post  Graduate  Institute  of
Medical Sciences, Rohtak.",,,
HARYANA,36,"Kurukshetra Blood Bank, SCO-55-56, 1st Floor, Sector-17, Kurukshetra",,,
HARYANA,37,"Jagdambe Blood Bank, at Aggarwal Hospital, Kali Mandir
Road, Bhatia Nagar,Tohana, Distt.- Fatehabad.",,,
HARYANA,38,"Rewari  Blood  Bank,  Rewari,  (Shree  Krishn  Medical  and
Social Welfare Society), 53-RL, Model Town, Rewari",,,
HARYANA,39,"Dr.   Anant   Ram   Janta  Hospital   Blood   Bank,   Sciencies,
Barwala, Hissar.",,,
HARYANA,40,"City Blood Bank, Circular Road, Bhiwani.",,,
HARYANA,41,"Shree MAA Blood Bank, Jagadhri, Yamunanagar.",,,
HARYANA,42,"Blood   Bank,   MM   Institute   of   Medical   Sciences   and
Research, Mulana, Distt. Ambala.",,,
HARYANA,43,"National Blood Bank, Kharab Hospital, Gohana Road, Jind.",,,
HARYANA,44,"Blood Bank, Philadelphina Mission Hospital,
.",,,
HARYANA,45,"Bharat   Blood   Bank,   467,   D/4   Hotel   West   Colony,   (A
Project of Panipat Royal Jacees), Panipat.",,,
HARYANA,46,"Panipat Blood Bank, 332-R Model Town, Panipat.",,,
HARYANA,47,"Sanjeevani  Blood  Bank,  111,  Near  Railway  Road,  Sadar
bazar, Ambala Cantt..",,,
HARYANA,48,"Sonepat Blood Bank, Sonepat.",,,
HARYANA,49,"Blood  Bank,  Sarvodaya  Hospital,  Sector-19,  Gopi  Colony,
Faridabad.",,,
HARYANA,50,"Blood  Bank,  Cryo  Banks,  International  (India)  Pvt.  Ltd.,129, Pace City, Sector-37, Gurgaon.",,,
HARYANA,51,"Blood    Bank,    Kaisar    Hospital,    Limited    (New    Name
Alchemist Hospital Ltd., Sector-21, Panchkula.",,,
HARYANA,52,"Tohana Blood Bank, Tohana.",,,
HARYANA,53,"Blood  Bank,  Bapu  Maghar  Singh  Ji  International,  Blood Bank, Shah Satnam Singh Ji Speciality Hospital, Near Shah Satnam Singh Ji Dham, Sirsa.",,,
HARYANA,54,"Blood  Bank,  QRG  Central  Hospital  and  Research  Centre,
Plot No. 69, Sector-20 A, Near Neelam Fly Over, Ajronda mathura Road, Faridabad.",,,
HARYANA,55,"Blood Bank, Paras Health Care Pvt. Ltd., C-1, Sushant Lok
City, Phase I, Gurgaon.",,,
HARYANA,56,"Blood  Bank,  Sant  Bhagat  Ji,  Maharaj  Charitable  Hospital,
Faridabad.",,,
HARYANA,57,"Blood  Bank,  Artemis  Medicare  Services  Ltd.,  Sector-51,
Gurgaon.",,,
HARYANA,58,"Blood Bank, General Hospital, Jhajjhar.",,,
HARYANA,59,"Blood Bank, General Hospital, Rewari.",,,
HARYANA,60,"Blood   Bank,   Sarvodaya   Hospital   &   Research   Centre,
YMCA Road, Sector-8, Faridabad.",,,
HARYANA,61,"Blood Bank, The Medanta Blood Bank, Gurgaon.",,,
HARYANA,62,"Blood  Bank,  Asian  Institute  of  Medical  Sciences,  Badkhal
Flyover Road, Sector 21-A, Faridabad.",,,
HARYANA,63,"Blood  Bank,  Metro  Heart  Institute  with  Multispecialty  (A
Unit  of  Metro  Specialty  Hospitals  Pvt.  Ltd.,)  Sector-16A, Faridabad.",,,
HARYANA,64,"Blood  Bank,  Alchemist  Institute  of  Medical  Sciences  (A
Unit  of  Alchemist  Hospitals  Ltd.,)  Sector-53,  Saraswati Kunj, Gurgaon.",,,
HARYANA,65,"Blood  Bank,  SGT  Medical  College,  Hospital  &  Research
Institute, Budhera, Near Sultanpur Lake, Farukhnagar Road, Gurgaon.",,,
HARYANA,66,"Blood Bank, General Hospital, Fatehabad.",,,
HARYANA,67,"Unistem  Biosciences  Pvt.  Ltd.,  Plot  No.  62,  Udyog  Vihar,
Phase-I, Gurgaon",,,
HARYANA,68,"Blood  Bank,  Park  Hospital,  (  Unit  of  Park  Medicentre  & Institution   Pvt.   Ltd.)   Q-I   Block,   South   City-II,   Phae-I,
Gurgaon.",,,
HARYANA,69,"Blood Bank, Fortis Memorial Research  Institute, A unit of
Fortis   Health   Management   (North)   Limited,   Sector-44, Institutional Area, Gurgaon.",,,
HARYANA,70,"Blood Bank, General Hospital, Mandikhera, Distt.- Mewat",,,
HARYANA,71,"Life   Cell International Private Ltd., Plot No. 26, Sector-4,
IMT, Manesar, Gurgaon.",,,
HARYANA,72,"Blood  Bank,  Shaheed  Hasan  Khan  Mewati  Govt.  Medical
College, Nalhar, Tehsil Nuh, Distt.- Mewat.",,,
HARYANA,73,"HIMS   Blood   Bank,   HIMS   Hospital,   NH-152,   Village-
Ujhana, Ambala Road, Kaithal (Haryana)",,,
HARYANA,74,"Blood  Bank,  General  Hospital,  New  Sohana  Road,  Palwal, (Haryana).",,,
HARYANA,75,"Blood   bank,   Bhagat   Phool   Singh   Medical   College   for
Women, Khanpur Kalan, Distt. ?Sonepat (Haryana)",,,
HARYANA,76,"Gold  Field  Blood  bank,  Gold  Field  Hospital  and  Research
Centre,   Vill.-   Chhainsa,   Ballabgarh,   Distt.-   Faridabad (Haryana)",,,
HARYANA,77,"Blood  bank,  N.C.  Medical  College  and  Hospital,  Panipat-
Rohtak Road, Israna, Distt.- Panipat .",,,
HARYANA,78,"Blood  Bank,  Gangaputra  Hospital  and  Research  Centre
Blood Bank, Kaithal Road, Kandela, Distt.- Jind.",,,
HARYANA,79,"Blood bank, TotipotentRX Cell Therapy Pvt. Ltd., at Fortis
Memorial Research Institute, Sector-44, Gurgaon (Haryana)",,,
HIMACHAL PRADESH,1,"Blood Bank, CHC, Haroli, Una.",,,
HIMACHAL PRADESH,2,"Blood Bank, Civil Hospital, Rohru, Shimla .",,,
HIMACHAL PRADESH,3,"Blood Bank, District Hospital, Bilaspur.",,,
HIMACHAL PRADESH,4,"Blood Bank, Distt. Hospital, Kullu.",,,
HIMACHAL PRADESH,5,"Blood   Bank,   Indira   Gandhi   Medical   College   Hospital,
Shimla.",,,
HIMACHAL PRADESH,6,"Blood Bank, District Hospital, Chamba.",,,
HIMACHAL PRADESH,7,"Blood Bank, District Hospital, Nahan.",,,
HIMACHAL PRADESH,8,"Blood Bank, District Hospital, Solan.",,,
HIMACHAL PRADESH,9,"Blood Bank, District Hospital, Una.",,,
HIMACHAL PRADESH,10,"Blood Bank, Deen Dayal Updhayay Hospital, Shimla.",,,
HIMACHAL PRADESH,11,"Blood Bank, Zonal Hospital, Dharamshala.",,,
HIMACHAL PRADESH,12,"Blood Bank, Kamla Nehru Hospital, Shimla",,,
HIMACHAL PRADESH,13,"Blood Bank, Zonal Hospital, Hamirpur.",,,
HIMACHAL PRADESH,14,"Blood  Bank,C/  Chief  Medical  Officer,  Mandi  situated  at
Netaji Subhash Chander Bose Zonal Hospital, Mandi.",,,
HIMACHAL PRADESH,15,"Blood   Bank,   Sub-Divisional   Hospital,   Palanpur,   Distt.-
Kangra.",,,
HIMACHAL PRADESH,16,"Blood   Bank,   Bhota   Charitable   Hospital,   Bhota,     Distt.
Hamirpur.",,,
HIMACHAL PRADESH,17,"Blood Bank, Mahatama Gandhi Medical Services Complex,
Shimla.",,,
HIMACHAL PRADESH,18,"Blood Bank, Regional Hospital, Rekng Peo, Kinnar.",,,
HIMACHAL PRADESH,19,"Blood  Bank,  Dr.  Rajinder  Prasad  Govt.  Medical  College
Hospital, Tanda, Distt. Kangra.",,,
HIMACHAL PRADESH,20,"Blood Bank, Military Hospital, Yol. Kangra.",,,
HIMACHAL PRADESH,21,"The  Blood  Bank,  C/o  Registrar,  Maharshi  Markandeshwar
University, Maharshi Markendeshwar Medical College and Hospital, LADO, Sultanpur Road, Kumarhatti, Solan.",,,
HIMACHAL PRADESH,22,"Malhotra Super Speciality Hospital Blood Bank (A Unit of Malhotra  Clinics  Pvt.  Ltd.),  SCO  No.  8,  Himuda  Bhatoli
Kalan, Opp.- Mahavir Spinning Mills, Baddi, Distt.- Solan.",,,
JAMMU AND KASHMIR,1,"Blood Bank, 150, General Hospital, Rajouri",,,
JAMMU AND KASHMIR,2,"Blood Bank, Sainik Asptal, 166, Military Hospital, C/o 56
APO.",,,
JAMMU AND KASHMIR,3,"Blood Bank, SKIMS, Soura, Srinagar",,,
JAMMU AND KASHMIR,4,"Blood Bank, SMHS Hospital, Srinagar.",,,
JAMMU AND KASHMIR,5,"Blood  Bank,  Government  Medical  College  &  Hospital,
Mahesh Pura, Bakshi Nagar, Jammu.",,,
JAMMU AND KASHMIR,6,"Blood Bank, SMGS Hospital, Shalamar Road, Jammu",,,
JAMMU AND KASHMIR,7,"Blood   Bank,   Bee   Enn   General   Hospital,   Talab   Tillo,
Jammu.",,,
JAMMU AND KASHMIR,8,"Blood  Bank,Command  Hospital,  Uttari  Kaman,C/o  Uttari
Kaman, Udhampur.",,,
JAMMU AND KASHMIR,9,"Blood Bank, 92 Base Hospital, C/o 56 APO,  Badami Bagh,
Srinagar.",,,
JAMMU AND KASHMIR,10,"Blood Bank, District Hospital, Kathua (J&K)",,,
JAMMU AND KASHMIR,11,"Blood Bank, District Hospital, Udhampur (J&K)",,,
JAMMU AND KASHMIR,12,"Blood Bank, District Hospital, Doda (J&K)",,,
JAMMU AND KASHMIR,13,"Blood  Bank,  Acharya  Shri  Chander  College  of  Medical
Sciences and Hospital, Sidhra, Jammu.",,,
JAMMU AND KASHMIR,14,"Blood  Bank,  153,  General  Hospital,  C/o  56  APO,  Leh
Ladakh (J&K).",,,
JAMMU AND KASHMIR,15,"Blood Bank, Govt. Hospital, Gandhi Nagar, Jammu",,,
JAMMU AND KASHMIR,16,"Blood Bank, Govt. Hospital, Rajouri",,,
JAMMU AND KASHMIR,17,"Blood Bank, SNM Hospital, Leh",,,
JAMMU AND KASHMIR,18,"Blood Bank, SDN Hospital, Kishtwar",,,
JAMMU AND KASHMIR,19,"Blood Bank, Emergency Hospital, Ramban",,,
JAMMU AND KASHMIR,20,"Blood Bank, Lala Ded Hospital, Srinagar.",,,
JAMMU AND KASHMIR,21,"Blood Bank, Distt. Hospital, Budgam",,,
JAMMU AND KASHMIR,22,"Blood Bank, Distt. Hospital, Baramulla",,,
JAMMU AND KASHMIR,23,"Blood Bank, Distt. Hospital, Pulwama",,,
JAMMU AND KASHMIR,24,"Distt. Hospital, Kargil Ladakh Kashmir Division, Jammu &
Kashmir.",,,
JAMMU AND KASHMIR,25,"Distt. Hospital, Poonch, J & K.",,,
JAMMU AND KASHMIR,26,"Blood Bank, Distt.- Hospital, Anantnag",,,
JAMMU AND KASHMIR,27,"Blood Bank, Sub-Distt. Hospital, Chadoora, Distt.- Budgam",,,
JAMMU AND KASHMIR,28,"Blood Bank, Sub-District Hospital, Kupwara",,,
JAMMU AND KASHMIR,29,"Blood bank, Distt. Hospital, Kulgam (J&K)",,,
JAMMU AND KASHMIR,30,"Blood   Bank,   Govt.   Bone   &   Joint   Surgery   Hospital,
Barzulla, Srinagar",,,
JAMMU AND KASHMIR,31,"Blood   Bank,   Jawahar   Lal   Nehru   Memorial   Hospital,
Rainwari, Srinagar",,,
JHARKHAND,1,"M/s  Blood Bank, Ispat Hospital, Mecon (I) Ltd.",,,
JHARKHAND,2,"M/s  Indian  Red  Cross  Society  Blood  Bank,  Red  Cross
Building, Morabadi maidan",,,
JHARKHAND,3,"M/s The Blood Bank, Heavy Engineering Corporation Ltd.,
Dhurwa, Ranchi",,,
JHARKHAND,4,"M/s  Blood  Bank,C.C.L.  Hospital,  Gandhi  Nagar,  Kanke, Road,",,,
JHARKHAND,5,"M/s   Central   Hospital,   Naisarai,   C.C.L.,   P.O.   +   Dist.   -
Ramgarh Cantt, Pin-829122.",,,
JHARKHAND,6,"M/s  Bokaro  General  Hospital  Blood  Bank,  Bokaro  steel
City, Bokaro.",,,
JHARKHAND,7,"M/s Birsha Blood Bank, Dr. P.N. Jaiswal Road, Bariatu,",,,
JHARKHAND,8,"M/s Abdur Razzaque Ansari, Memorial Weaver?s Hospital
(Apollo Hospital Group)Blood banl, Irba",,,
JHARKHAND,9,"M/s Blood Bank, Sadar Hospital,  Simdega,",,,
JHARKHAND,10,"M/s  Guru  Nanak  Hospital  & Research  Centre  Blood  Bank
Unit, Station Road, Pin",,,
JHARKHAND,11,"M/s  Blood Bank, Sadar Hospital, Gumla",,,
JHARKHAND,12,"M/s Blood Bank, Sadar Hospital.",,,
JHARKHAND,13,"M/s Sadar Hospital, Near Town Hall, P.S.-Dumka.",,,
JHARKHAND,14,"M/s Sadar Hospital Blood Bank,",,,
JHARKHAND,15,"M/s Sadar Hospital Blood Bank, Daltonganj, Pin-822101",,,
JHARKHAND,16,"M/s Central Hospital Blood Bank, BCCL, Jagjiwan Nagar.",,,
JHARKHAND,17,"M/s Blood Bank, Sadar Hospital",,,
JHARKHAND,18,"M/s M.G.M. Medical College & Hospital, Jamshedpur",,,
JHARKHAND,19,"M/s Sub-Divisional Hospital Blood Bank, Latehar.",,,
JHARKHAND,20,"M/s   Patliputra   Medical   College   Hospital   ,   Saridhela
campus.",,,
JHARKHAND,21,"M/s SAI Hospital Blood Bank, Sector-IV,Bokaro Steel City,
PIN-827004.",,,
JHARKHAND,22,"M/s Blood Bank, Military Hospital, Ramgarh Cantt.,",,,
JHARKHAND,23,"M/s  Tata  Iron  &  Steel  Company  (TISCO),  West  Bokaro
Hospital  Blood  Bank,  Ghatotand,  Dist-  Ramgarh,      Pin- 825314, Jharkhand",,,
JHARKHAND,24,"M/s  Gua Hospital , IISCO, P.O.- Gua,",,,
JHARKHAND,25,"M/s Blood Transfusion Unit, TISCO Hospital, Noamundi,",,,
JHARKHAND,26,"M/s   Archi   Jharkhand   Blood   Bank,   Buxi   Compound,
Aveneue  Road, Near Dr. J. Sharan, Bariyatu, Pin-834009",,,
JHARKHAND,27,M/s Sadar Hospital Chaibasa.,,,
JHARKHAND,28,M/s Sadar Hospital Blood Bank.,,,
JHARKHAND,29,M/s  Sadar Hospital Blood Bank.,,,
JHARKHAND,30,"M/s   Blood   Bank,   Kiriburu   General   Hospital,   At/P.O.-
Kiribur,  Jharkhand-833222.",,,
JHARKHAND,31,"M/s  Seventh  Day  Adventist  Hospital  Blood  Bank,  Bariatu
Road.",,,
JHARKHAND,32,"M/s State- of- Art Model Blood Bank, Rajendra Institute of
Medical Sciences, Bariatu Road.",,,
JHARKHAND,33,"M/s  Blood  Bank  ,  Nagarmal  Modi  Seva  Sadan  Hospital,
Upper Bajar Lake Road.",,,
JHARKHAND,34,"M/s Military Hospital Blood Bank, Namkum",,,
JHARKHAND,35,"M/s  K.  M.  Memorial  Hospital  Blood  Bank,  Chas,  Bokaro
Steel City-827013.",,,
JHARKHAND,36,"M/s Jharkhand Blood Bank   situated at P.O.+ P.S. Bariatu,
Ranchi-834009, Jharkhand",,,
JHARKHAND,37,"M/s  Jamshedpur  Blood  Bank,  Stocking  Road,  Jamsedpur-
831001",,,
JHARKHAND,38,"M/s   Blood   Bank,   Kidney   Hospital   &   Urology   Centre,Radium Road.",,,
JHARKHAND,39,"M/s  Blood  Bank,  Dhanbad  S.N.  Chokrabarty  Memorial
Nursing Home, Debraj Complex, 3rd Floor.",,,
JHARKHAND,40,"M/s  Rinchi  Trust  Hospital  Blood  bank,  Kathal  More,  Itki
Rd.",,,
JHARKHAND,41,"M/s  Indian  Red  Cross  Society  Blood  Bank,Near  Circuit
House, Sector-1,Bokaro Steel City-827001",,,
JHARKHAND,42,"M/s   Apurva  Hospital  &  Research  Centre,  Sweta,  Ranchi
Road, P.O.-Marar, Ramgarh, Canttt.",,,
JHARKHAND,43,"M/s Blood Bank, Sadar Hospital, Sahebganj",,,
JHARKHAND,44,"M/s Blood Bank, Sadar Hospital, Sahebganj",,,
JHARKHAND,45,"M/s  Sartaj  Blood  Bank,  508/C,  Sudarshan  Building,  P.P.
Compound, Pin-834001",,,
JHARKHAND,46,"M/s Blood Bank, Indian Red Cross Society, Chatra",,,
JHARKHAND,47,"M/s Blood Bank, Sadar Hospital,  Koderma",,,
JHARKHAND,48,"M/s Blood Bank Division, Devkamal Hosptal and Research
Centre, Bajra, Itki Road, Post. - Hehal, Ranchi, Pin-834005",,,
JHARKHAND,49,"M/s  Sadar Hospital Blood Bank, Pakur",,,
JHARKHAND,50,"M/s  Blood  Bank,  Sadar  Hospital,  Seraikella-  Kharsawan,
Dist. - Seraikella, Jharkhand",,,
JHARKHAND,51,"Ms Blood Bank Services, Tata Central Hospital, Jamadoba,
P.O.- Bhaga, Dist-Dhanbad, Pin-828301, Jharkhand",,,
JHARKHAND,52,"M/s  Blood  Bank  Bokaro,   City Care  Hospital  &  Research
Centre, Check Post, Chas, Bokaro - 827013, Jharkhand",,,
JHARKHAND,53,"M/s Dhanbad Blood Bank, Jora Pathak.",,,
JHARKHAND,54,"M/s Anand Rotary Blood Bank, Anand Hospital, Jharkhand",,,
KARNATAKA,1,"Bangalore    Blood    Bank    and    Diagnostic    Laboratory,
Malleshwaram, Bangalore-500 003",,,
KARNATAKA,2,"City     Transfusion     ex-servicemen,     Blood     bank     and
Laboratory, Jayaynagar, Mysore-570 014",,,
KARNATAKA,3,"HKES  Blood  Bank  Organisation  M.R.  Medical  College,
Basave  shwara  Teaching  &  General  Hospital,     No.7-52 Sadam Road, Gulbarga",,,
KARNATAKA,4,"Bangalore Rotary TTK Blood Bank Medical Service Trust, New Thippasandra Main Road, HAL III Stage, Bangalore-
560075",,,
KARNATAKA,5,"KIMS  Hospital,  K.R.Road,  Visveswarapuram,  Bangalore-
560 004",,,
KARNATAKA,6,"Indian Medical Association Blood Bank, 3.9.58, Old Govt.
Hospital Compound, Beron Quilla, Raichur-584 101",,,
KARNATAKA,7,"Bangalore    Baptist    Hospital,    Bellary    Road,    Hebbal.
Bangalore-560 024",,,
KARNATAKA,8,"Sanjaya  Gandhi  Accident  Hospital  &  Research  Institute,
Jayanagar East, Byrasandra, Bangalore-11",,,
KARNATAKA,9,"The    Superintendent,    Victoria    Hospital    Blood    Bank,
K.R.Road, Bangalore-2",,,
KARNATAKA,10,"K.R.Hospital   Blood   Bank,   Sayyaji   Rao   Road,   Mysore-
570001",,,
KARNATAKA,11,"K.L.E.Society's   Hospital   and   Medical   Research   Centre,
Nehru Nagar, Belgaum-590 010",,,
KARNATAKA,12,"Fr.Muller's   Charitable    Institutions,   Post   Box    No.501,
Kankanady, South India, Mangalore-575 002",,,
KARNATAKA,13,"M.S.     Ramaiah     Medical     Teaching    Hospital,     Gokul
Extension, Bangalore-54",,,
KARNATAKA,14,"St. Martha's Hospital, Nrupatunga Road, Bangalore-9",,,
KARNATAKA,15,"Belgaum  Blood  Bank  and  Diagnostic  Laboratory,  3137, Huns   Talkies   Road,   (opp.   To   Central   High   School),
Belgaum.",,,
KARNATAKA,16,"Kidwai Memorial Institute of Oncology Blood Bank, Hosur
Road,Bangalore-29",,,
KARNATAKA,17,"Transfusion   Medicine   Centre,   (NIMHANS)Hosur   Road,
Bangalore-29",,,
KARNATAKA,18,"St.   John's   Medical   College   Hospital,   Sarjapur   Road,
Bangalore -34",,,
KARNATAKA,19,"Mallya Hospital No.2, Vittal Mallya Road, Bangalore-1",,,
KARNATAKA,20,"The District Surgeon, District Hospital,  Bidar",,,
KARNATAKA,21,"The   District   Surgeon,   District   Hospital,   Athani   Road,
Bijapur-586 102",,,
KARNATAKA,22,"The   Principal,   Medical   College   Hospital   Blood   Bank,
Bellary",,,
KARNATAKA,23,"The   District   Surgeon,   District   Hospital   Blood   Bank,
Gulbarga",,,
KARNATAKA,24,"General Hospital, Robertson Peth, K.G.F.-563 122",,,
KARNATAKA,25,"The District Surgeon, S.N.R. District Hospital Blood Bank,
Kolar",,,
KARNATAKA,26,"The   District   Surgeon,   District   Hospital   Blood   Bank,
Belgaum-590 001",,,
KARNATAKA,27,"Hindustan   Aeronautics   Limited   (HAL   Hospital   Blood
Bank), Bangalore Complex, Bangalore-17",,,
KARNATAKA,28,"St.Philomena's Hospital Blood Bank, No.1, Nilsandra Road,
Bangalore-47",,,
KARNATAKA,29,"K.C.General     Hospital     Blood     Bank,     Malleshwaram,
Bangalore-560 003",,,
KARNATAKA,30,"Command Hospital Blood Bank, Air Force, Air Force Road,
Bangalore-560 007",,,
KARNATAKA,31,"Sri  Sidhartha  Medical   College  Blood   Bank,   Agalakote,
B.H.Road, Tumkur-572 102",,,
KARNATAKA,32,"Sushruta  Voluntary  Blood  Bank,  ""Adarsha  Bhavan""  151,
15th Cross, Malleswaram Bangalore-560 055",,,
KARNATAKA,33,"B.L.D.E.    Association's    Medical    College    Hospital    &
Research Centre, Ashram Road, Bijapur-586103",,,
KARNATAKA,34,"Unique Blood  Bank  & Diagnostic Centre, S.L.N.Complex,
City Market Square, Bangalore-2",,,
KARNATAKA,35,"Mc.Gann  Hospital  Blood  Bank  Sagar  Road,  Shimoga-577
201",,,
KARNATAKA,36,"The      Superintendent,      E.S.I.Hoaspital      Blood      Bank,
Rajajinagar, Bangalore-560 010",,,
KARNATAKA,37,"Rashtrotthana Blood Bank 93/2 Keshava Shilpa Ist Mn Rd
Kempegowda Nagar Bangalore-560 019",,,
KARNATAKA,38,"The   District   Surgeon,   District   Hospital   Blood   Bank,
Tumkur-572 101",,,
KARNATAKA,39,"The District Surgeon, District Hospital Blood Bank, Bellary",,,
KARNATAKA,40,"The  District  Surgeon,  Mallegowda  District  Hospital  Blood
Bank Chickmagalure-577101",,,
KARNATAKA,41,"Karnataka Medical College Hospital Blood Bank IIIrd Floor
#306 ,Hubli - 580 022",,,
KARNATAKA,42,"Adichunchanagiri      Hospital      and      research      centre, Balagangadharanatha  nagar,  Bellur-571  418,  Nagamangala
Taluk, Mandya District.",,,
KARNATAKA,43,"Lion's  Blood  Bank,  Bandikaman  Road,  Ward  No.6,  CTS
No.168, Basement Ground and First Floor, Bijapur-586 101",,,
KARNATAKA,44,"Hutti Gold Hospital, Hutti, Raichur District.",,,
KARNATAKA,45,"Sri. Chamarajendra District Hospital Blood Bank, Hospital
Road, Hassan-573 201",,,
